01A,Afognak Lake Airport
AKT,Akrotiri Airport
AKX,Aktyubinsk Airport
AKY,Sittwe Airport
AL1,Albertville Regional-Thomas J Brumlik Field
AL2,Shelby County
AL3,Madison County Executive/Tom Sharp Jr. Field
AL4,South Alabama Regional at Bill Benton Field
AL5,Demopolis Municipal
AL6,H. L. Sonny Callahan
ALA,Almaty Airport
ALB,Albany International
ALC,Alicante Airport
ALE,Alpine Casparis Municipal
ALF,Alta Airport
ALG,Houari Boumediene
ALH,Albany Airport
ALI,Alice International
ALJ,Alexander Bay Airport
ALK,Asela Airport
ALM,Alamogordo White Sands Regional
ALN,St. Louis Regional
ALO,Waterloo Regional
ALP,Aleppo International
ALQ,Alegrete Airport
ALR,Alexandra Airport
ALS,San Luis Valley Regional/Bergman Field
ALT,Alenquer Airport
ALU,Alula Airport
ALW,Walla Walla Regional
ALX,Thomas C. Russell Field
ALY,Alexandria International
ALZ,Alitak Seaplane Base
AMA,Rick Husband Amarillo International
AMD,Ahmedabad Airport
AMF,Ama Airport
AMG,Amboin Airport
AMH,Arba Minch Airport
AMI,Selaparang
AMK,Animas Air Park
AML,Puerto Armuelles Airport
AMM,Queen Alia International
AMN,Gratiot Community
AMO,Mao Airport
AMP,Ampanihy Airport
AMQ,Pattimura
AMS,Schiphol
AMW,Ames Municipal
AMX,Ammaroo Station
AMY,Ambatomainty Airport
ANA,Anaheim-Disneyland HP
ANB,Anniston Regional
ANC,Ted Stevens Anchorage International
AND,Anderson Regional
ANE,Angers Marce
ANF,Cerro Moreno International
ANG,Angouleme Airport
ANI,Aniak Airport
ANK,Etimesgut
ANM,Antsirabato
ANN,Annette Island
ANO,Angoche Airport
ANP,Lee
ANR,Deurne
ANS,Andahuaylas Airport
ANU,V C Bird International
ANV,Anvik Airport
ANX,Andoya
AOH,Lima Allen County
AOI,Falconara
AOJ,Aomori Airport
AOK,Karpathos Airport
AOL,Paso de Los Libres Airport
AOO,Altoona-Blair County
AOR,Sultan Abdul Halim
AOS,Amook Bay Airport
APA,Centennial
APB,Apolo Airport
APC,Napa County
APE,San Juan Aposento Airport
APF,Naples Municipal
APG,Phillips AAF
API,Gomez Nino Apiay AB
APK,Apataki Airport
APL,Nampula Airport
APN,Alpena County Regional
APO,Apartado Airport
APR,April River Airport
APT,Marion County Brown Field
APV,Apple Valley Airport
APW,Faleolo International
AQI,Hafr Al Batin
AQJ,Aqaba King Hussein International
AQP,Rodriguez Ballon International
AQS,Saqani Airport
AQY,Girdwood Airport
AR1,Russellville Regional
AR2,Dennis F Cantrell Field
ARA,Acadiana Regional
ARB,Ann Arbor Municipal
ARC,Arctic Village Airport
ARD,Arcadia Municipal
ARE,Antonio/Nery/Juarbe Pol
ARG,Walnut Ridge Regional
ARH,Talagi
ARI,Chacalluta
ARK,Arusha Airport
ARM,Armidale Airport
ARN,Arlanda
ARP,Aragip Airport
ARQ,Arauquita Airport
ARS,Aragarcas Airport
ART,Watertown International
ARU,Aracatuba Airport
ARV,Lakeland/Noble F. Lee Memorial Field
ARW,Arad Airport
ARX,Asbury Park/Monmouth County
ARY,Ararat Airport
ARZ,N'zeto Airport
ASA,Assab International
ASB,Ashgabat Airport
ASC,Ascension Airport
ASD,Fresh Creek
ASE,Aspen Pitkin County Sardy Field
ASG,Ashburton Airport
ASH,Boire Field
ASI,Ascension Aux Af
ASJ,Amami
ASK,Yamoussoukro Airport
ASL,Harrison County
ASM,Asmara International
ASN,Talladega Municipal
ASO,Asosa Airport
ASP,Alice Springs Airport
ASQ,Austin Airport
ASR,Erkilet
AST,Astoria Regional
ASU,Silvio Pettirossi International
ASW,Aswan International
ASX,John F Kennedy Memorial
ASY,Ashley Municipal
ATA,Anta Huaraz
ATB,Atbara Airport
ATC,Arthur's Town Airport
ATE,Antlers Municipal
ATH,Eleftherios Venizelos International
ATI,Artigas International
ATK,Atqasuk Edward Burnell Sr. Memorial
ATL,Hartsfield-Jackson Atlanta International
ATM,Altamira Airport
ATN,Namatanai Airport
ATO,Ohio University Snyder Field
ATP,Aitape Airport
ATQ,Amritsar Airport
ATR,Atar Airport
ATS,Artesia Municipal
ATT,Atmautluak Airport
ATU,Casco Cove CGS
ATV,Ati Airport
ATW,Outagamie County Regional
ATY,Watertown Regional
ATZ,Assiut Airport
AU1,Scherger
AUA,Reina Beatrix International
AUC,Santiago Perez
AUD,Augustus Downs Airport
AUG,Augusta State
